"filename", "language", "TypeScript", "TypeScript React", "SCSS", "CSS", "GraphQL", "JSON", "comment", "blank", "total"
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupForm.tsx", "TypeScript React", 0, 169, 0, 0, 0, 0, 0, 11, 180
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupMembersDetails.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 3, 46
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Group/GroupPage.tsx", "TypeScript React", 0, 104, 0, 0, 0, 0, 2, 18, 124
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/ListPage.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 5, 42
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/ManagementPageTemplate.tsx", "TypeScript React", 0, 69, 0, 0, 0, 0, 0, 9, 78
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/CreateOrganizationGroup.tsx", "TypeScript React", 0, 60, 0, 0, 0, 0, 0, 8, 68
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationForm.tsx", "TypeScript React", 0, 191, 0, 0, 0, 0, 6, 20, 217
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationList.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 10, 48
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/Organization/OrganizationPage.tsx", "TypeScript React", 0, 135, 0, 0, 0, 0, 2, 13, 150
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/SearchableList.tsx", "TypeScript React", 0, 115, 0, 0, 0, 0, 0, 16, 131
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/User/UserList.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 14, 14, 60
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/User/UserRemoveModal.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 4, 36
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Admin/managementData.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 2, 129
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosButton.tsx", "TypeScript React", 0, 29, 0, 0, 0, 0, 0, 4, 33
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosCheckbox.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 6, 44
"/home/nsmyth/Dev/Alkemio/client-web/src/components/Authentication/Kratos/KratosFeedback.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 3, 20
